ID,Category,Nr,V/H,Description,Valence,Arousal,Width,Height,Luminance,Contrast
People_231_h,People,231,h,Skeleton,4.1,6.16,1600,1200,121.47,53.89
People_232_h,People,232,h,Surgery,3.63,6.42,1600,1200,109.3,68.7
People_233_h,People,233,h,Dead Animal,2.47,6.92,1600,1200,107.43,59.28
People_234_h,People,234,h,Surgery,4.06,6.38,1600,1200,72.16,67.92
People_235_h,People,235,h,Dead Body,2.67,6.57,1600,1200,128.38,74.12
People_236_v,People,236,v,Skeletons,4.38,5.98,1200,1600,90.81,55.38
People_237_h,People,237,h,Face Skin,1.6,7.39,1600,1200,168.8,34.23
People_238_h,People,238,h,Dead Bodies,1.33,7.54,1600,1200,76.65,67.52
People_240_h,People,240,h,Skin Disease,1.82,7.05,1600,1200,174.12,71.92
People_241_h,People,241,h,Eye Disease,2.52,6.9,1600,1200,150.6,58.45
People_242_v,People,242,v,Dead Sheep,2.86,7.04,1200,1600,100.95,51.21
People_243_h,People,243,h,Eye Disease,2.84,6.82,1600,1200,125.43,58.86
People_245_v,People,245,v,Skin Disease,3.42,5.9,1200,1600,102.6,72.15
People_246_h,People,246,h,Black Eye,1.96,7.11,1600,1200,149.7,58.15
People_247_v,People,247,v,Ear Puncture,4.76,6.2,1200,1600,68.08,53.97
