ID,Category,Valence,Arousal
Landscapes_054_h,Landscapes,7.6,2.94
Landscapes_055_h,Landscapes,6.02,4.16
Landscapes_056_h,Landscapes,4.82,4.77
Landscapes_057_h,Landscapes,5.48,5.25
Landscapes_058_h,Landscapes,4.04,5.4
Landscapes_059_v,Landscapes,7,4.51
Landscapes_060_h,Landscapes,5.21,4.27
Landscapes_061_h,Landscapes,4.98,4.59
Landscapes_062_h,Landscapes,6.86,4.04
Landscapes_063_h,Landscapes,5.49,4.63
Landscapes_064_h,Landscapes,7.56,3.31
Landscapes_065_h,Landscapes,6.47,3.61
Landscapes_066_h,Landscapes,3.92,5.5
Landscapes_067_h,Landscapes,4.98,4.76
Landscapes_068_h,Landscapes,3.58,5.63
Landscapes_069_v,Landscapes,6.09,4.29
Landscapes_070_h,Landscapes,3.96,5.53
Landscapes_071_h,Landscapes,6.19,3.82
Landscapes_072_h,Landscapes,5.83,4
Landscapes_073_h,Landscapes,6.17,4.35
Landscapes_074_h,Landscapes,4.04,4.98
Landscapes_075_h,Landscapes,6.15,4.17
Landscapes_076_h,Landscapes,5.06,4.58
Landscapes_077_v,Landscapes,4.64,4.65
Landscapes_078_h,Landscapes,4.5,4.86
Landscapes_079_v,Landscapes,5.09,4.76
Landscapes_080_h,Landscapes,5.46,4.35
Landscapes_081_h,Landscapes,5.48,4.9
Landscapes_082_v,Landscapes,6.45,4.16
Landscapes_083_h,Landscapes,5.76,4.18
Landscapes_084_v,Landscapes,5.4,4.69
Landscapes_085_h,Landscapes,6.77,3.57
Landscapes_086_v,Landscapes,6.4,4.45
Landscapes_087_h,Landscapes,6.17,4.9
Landscapes_088_v,Landscapes,7.31,3.98
Landscapes_089_h,Landscapes,6.62,3.35
Landscapes_090_h,Landscapes,7.06,3.38
Landscapes_091_h,Landscapes,5.16,4.57
Landscapes_092_h,Landscapes,6.12,4.9
Landscapes_093_h,Landscapes,5.41,4.56
Landscapes_094_h,Landscapes,7.06,3.37
Landscapes_095_h,Landscapes,6.46,4.87
Landscapes_096_h,Landscapes,7.89,3.21
Landscapes_097_v,Landscapes,7.6,2.71
Landscapes_098_h,Landscapes,7.87,2.56
Landscapes_099_v,Landscapes,6.66,3.44
Landscapes_100_h,Landscapes,6.88,3.8
Landscapes_101_v,Landscapes,6.39,3.43
Landscapes_102_h,Landscapes,7.18,3.9
Landscapes_103_v,Landscapes,7.83,2.43
Landscapes_104_h,Landscapes,7.2,2.8
Landscapes_105_v,Landscapes,7.51,2.63
Landscapes_106_v,Landscapes,6.5,3.04
Landscapes_107_h,Landscapes,6.79,3.45
Landscapes_108_v,Landscapes,6.8,3.46
Landscapes_109_h,Landscapes,7.16,3.14
Landscapes_110_v,Landscapes,7.04,3.86
Landscapes_111_h,Landscapes,5.48,4.13
Landscapes_112_v,Landscapes,6.84,3.34
Landscapes_113_h,Landscapes,7.67,3.49
Landscapes_114_v,Landscapes,7.21,3.19
Landscapes_115_v,Landscapes,6.71,3.57
Landscapes_116_v,Landscapes,8.05,3.44
Landscapes_117_h,Landscapes,7.78,3.57
Landscapes_118_v,Landscapes,3.08,6.69
Landscapes_119_h,Landscapes,6.6,3.47
Landscapes_120_v,Landscapes,8.31,2.04
Landscapes_121_h,Landscapes,7.74,3.2
Landscapes_122_v,Landscapes,7.7,2.06
Landscapes_123_h,Landscapes,8.15,2.11
Landscapes_124_h,Landscapes,7.06,3.85
Landscapes_125_h,Landscapes,7.34,3.59
Landscapes_126_h,Landscapes,7.06,3.38
Landscapes_127_h,Landscapes,6.95,3.55
Landscapes_128_h,Landscapes,7.42,3.24
